Transporter_ID,Transporter_Name,Region
TR01,Bharat Road Carriers,Maharashtra
TR02,Shree Balaji Logistics,Karnataka
TR03,Vishal Transport Co.,Delhi
TR04,National Freight Movers,Telangana
TR05,Speedway Logistics Pvt Ltd,Telangana
TR06,Ganesh Roadlines,West Bengal
TR07,Om Sai Transport,Maharashtra
TR08,Kaveri Cargo Movers,Delhi
TR09,Sunrise Logistics Solutions,Punjab
TR10,Metro Freight Carriers,Maharashtra
TR11,Reliable Roadways,Madhya Pradesh
TR12,Trident Transport Services,Rajasthan
TR13,Punjab Truck Union,Karnataka
TR14,Coastal Cargo Carriers,Karnataka
TR15,Apex Logistics India,Karnataka
TR16,Shakti Road Carriers,Karnataka
TR17,United Freight Corporation,Madhya Pradesh
TR18,Deccan Transport Co.,Tamil Nadu
