Trip_ID,Dispatch_Date,Plant_ID,Plant_Name,Destination,Route,Product_ID,Product_Name,Quantity_Tons,Vehicle_ID,Vehicle_Type,Vehicle_Capacity_Tons,Transporter_ID,Transporter_Name,Loading_Start_Time,Loading_End_Time,Weighbridge_Time,Gate_Out_Time,Expected_Delivery_Date,Actual_Delivery_Date,Delivery_Status,Delay_Days,Delay_Reason,Freight_Cost,Distance_KM,On_Time_Flag
TRIP010288,2025-01-01,PL02,Chennai Production Plant,Nagpur,Chennai - Nagpur,PD06,Electrical Cables,24.58,VH032,Container 32ft MXL,28,TR03,Vishal Transport Co.,2025-01-01 08:35,2025-01-01 11:02,2025-01-01 11:48,2025-01-01 12:15,2025-01-03,2025-01-02,On Time,0,Not Applicable,82477.42,1304,1
TRIP010153,2025-01-01,PL05,Hyderabad Assembly Unit,Mumbai,Hyderabad - Mumbai,PD04,PVC Granules,26.61,VH008,Container 32ft MXL,28,TR11,Reliable Roadways,2025-01-01 07:33,2025-01-01 09:27,2025-01-01 09:49,2025-01-01 10:04,2025-01-02,2025-01-02,On Time,0,Not Applicable,46271.57,714,1
TRIP006572,2025-01-02,PL04,Vadodara Processing Plant,Bhopal,Vadodara - Bhopal,PD02,Steel Pipes,22.27,VH002,Container 32ft MXL,28,TR06,Ganesh Roadlines,2025-01-02 08:10,2025-01-02 09:27,2025-01-02 10:05,2025-01-02 10:34,2025-01-03,2025-01-03,On Time,0,Not Applicable,29835.97,567,1
TRIP000458,2025-01-02,PL05,Hyderabad Assembly Unit,Mumbai,Hyderabad - Mumbai,PD03,Cement Bags,14.83,VH053,Open Truck 10 Tyre,16,TR09,Sunrise Logistics Solutions,2025-01-02 09:37,2025-01-02 12:21,2025-01-02 13:19,2025-01-02 13:48,2025-01-03,2025-01-03,On Time,0,Not Applicable,23130.67,731,1
TRIP011279,2025-01-02,PL01,Pune Manufacturing Unit,Bhopal,Pune - Bhopal,PD03,Cement Bags,11.54,VH046,Open Truck 10 Tyre,16,TR02,Shree Balaji Logistics,2025-01-02 10:52,2025-01-02 12:52,2025-01-02 13:22,2025-01-02 14:06,2025-01-03,2025-01-03,On Time,0,Not Applicable,17426.78,697,1
TRIP005580,2025-01-03,PL02,Chennai Production Plant,Jaipur,Chennai - Jaipur,PD06,Electrical Cables,15.58,VH054,Container 20ft,18,TR13,Punjab Truck Union,2025-01-03 07:17,2025-01-03 09:22,2025-01-03 09:38,2025-01-03 09:52,2025-01-05,2025-01-06,Delayed,1,Weather Conditions,73068.28,1946,0
TRIP001513,2025-01-04,PL05,Hyderabad Assembly Unit,Bhopal,Hyderabad - Bhopal,PD07,Packaged Tiles,18.0,VH019,Container 20ft,18,TR07,Om Sai Transport,2025-01-04 10:23,2025-01-04 10:53,2025-01-04 11:44,2025-01-04 12:15,2025-01-05,2025-01-05,On Time,0,Not Applicable,31553.7,784,1
TRIP010905,2025-01-04,PL05,Hyderabad Assembly Unit,Guwahati,Hyderabad - Guwahati,PD02,Steel Pipes,14.02,VH029,Open Truck 10 Tyre,16,TR17,United Freight Corporation,2025-01-04 10:45,2025-01-04 11:28,2025-01-04 11:50,2025-01-04 12:10,2025-01-06,2025-01-06,On Time,0,Not Applicable,68527.19,2207,1
TRIP011618,2025-01-04,PL02,Chennai Production Plant,Nagpur,Chennai - Nagpur,PD05,Auto Components,19.57,VH044,Container 32ft SXL,22,TR07,Om Sai Transport,2025-01-04 09:52,2025-01-04 12:19,2025-01-04 12:44,2025-01-04 12:55,2025-01-05,2025-01-05,On Time,0,Not Applicable,56187.49,1193,1
TRIP006023,2025-01-05,PL05,Hyderabad Assembly Unit,Guwahati,Hyderabad - Guwahati,PD08,Textile Rolls,9.22,VH046,Open Truck 10 Tyre,16,TR02,Shree Balaji Logistics,2025-01-05 10:33,2025-01-05 13:17,2025-01-05 13:47,2025-01-05 14:12,2025-01-08,2025-01-08,On Time,0,Not Applicable,47798.01,2267,1
TRIP000150,2025-01-06,PL05,Hyderabad Assembly Unit,Bhopal,Hyderabad - Bhopal,PD01,Steel Coils,13.84,VH024,Container 20ft,18,TR14,Coastal Cargo Carriers,2025-01-06 09:53,2025-01-06 13:01,2025-01-06 13:53,2025-01-06 14:36,2025-01-07,2025-01-07,On Time,0,Not Applicable,25736.97,744,1
TRIP002055,2025-01-06,PL02,Chennai Production Plant,Mumbai,Chennai - Mumbai,PD08,Textile Rolls,25.5,VH013,Container 32ft MXL,28,TR08,Kaveri Cargo Movers,2025-01-06 10:25,2025-01-06 13:24,2025-01-06 13:59,2025-01-06 14:35,2025-01-08,2025-01-08,On Time,0,Not Applicable,84062.0,1306,1
TRIP005404,2025-01-06,PL05,Hyderabad Assembly Unit,Guwahati,Hyderabad - Guwahati,PD04,PVC Granules,22.23,VH013,Container 32ft MXL,28,TR08,Kaveri Cargo Movers,2025-01-06 10:54,2025-01-06 12:09,2025-01-06 12:39,2025-01-06 13:09,2025-01-09,2025-01-08,On Time,0,Not Applicable,116581.86,2130,1
TRIP002994,2025-01-07,PL04,Vadodara Processing Plant,Mumbai,Vadodara - Mumbai,PD01,Steel Coils,7.76,VH014,Open Truck 6 Tyre,9,TR08,Kaveri Cargo Movers,2025-01-07 08:08,2025-01-07 10:15,2025-01-07 10:42,2025-01-07 11:18,2025-01-08,2025-01-08,On Time,0,Not Applicable,11229.83,560,1
TRIP007444,2025-01-07,PL05,Hyderabad Assembly Unit,Bhopal,Hyderabad - Bhopal,PD06,Electrical Cables,21.62,VH041,Container 32ft SXL,22,TR13,Punjab Truck Union,2025-01-07 06:15,2025-01-07 09:57,2025-01-07 10:48,2025-01-07 11:13,2025-01-08,2025-01-08,On Time,0,Not Applicable,41899.59,782,1
